"","Year2","cow","net.x","year","cnum","ccode","cname","cif","cod","net.y","tot","fdi_l","fdi_a","pi_a","pi_a_eq","pi_a_db","pi_l","pi_l_eq","pi_l_db","oi_a","oi_l","rsrv","tb_gs","CIF","COD","NET","TOT","FDIA","FDIL","PIA","PIAe","PIAd","PIL","PILe","PILd","OIA","OIL","RES","TB","ngdp_usd","hp_ngdp","rgdp_lcu","rgdp_growth","crisis","bankcrisis","currcrisis","debtcrisis","globcrisis","domcrisis","HId","LMId","X","Country","Year1","ElectionN","TypeAVol","TypeBVol","TotalVol","EthFrac","EEIndicator","Time","presys","mixsys","Enp1","GDPChangeE1E2","GDPChange1989","mis_weighted_mag","mis_GDPChangeE1E2","mis_GDPChange1989","pr","Time2","lg_weighted_mag","escorruptionmentions","esscandalmentions","esranking03","esranking04","Sample_Tav","Sample_TC","Sample_Bir","Sample_Sik","Sample_NTC","TypeAVolLag","TypeBVolLag","TotalVolLag","yeardiff","CoW.oidnum","EL.id","oidnum","oid","entity","ISO.3LA","ISO.numerical.TLA.missing.preceding.0s","WB.code","polity.id","CoW.Polity.TLA","CoW.Polity.number","IMF.code","EL.code","BM.id","BM.coding","communist","excommunist","country.existence","country.existence.polity","BM.gdppc","BM.pop","BM.d1","BM.q1","BM.q2","BM.d5","BM.q3","BM.q4","BM.d9","BM.90.10","BM.90.50","BM.50.10","polity2","polity.democracy","polity.democracy.m1","gini.sidd3","EL.population","EL.gdp_maddison","EL.bordo_gdppc","EL.tradeopen","EL.rgdppc","EL.openc","EL.openk","EL.cgdp","EL.rgdpch","EL.open_gold","EL.open_interwar","EL.gdppc","EL.gnppc","world.trade.gdp","world.population.k","world.gdp","worldgdp.dolUS.2000.const","worldgdp.ppp.dolIntl.2000.const","DS.90.10","DS.90.50","DS.50.10","AW.90.10","AW.90.50","AW.50.10","boix.prot","boix.cath","boix.musl","boix.relfract","boix.ethdiv","world.trade.gdp.interp","world.trade.gdp.interp.m1","world.gdp.interp","world.gdp.interp.m1","world.population.k.interp","AW.90.10.interp","AW.90.10.interp.m1","AW.90.50.interp","AW.50.10.interp","family.farms.interp","labor.endow","labor.endow.m1","gdppc.use","gdppc.use.m1","gdppc.growth","boix.y.interp","EL.population.interp","prop.dem.boix","prop.dem.polity","EL.gdp_maddison.interp","gdppc.pwt","lab.shr.arjun","cap.shr.houle","svolik.dem","svolik.dem.m1","svolik.demtrans","svolik.autrans","gw.energy2","prop.dem.svolik","nb.dem.prop.polity","nb.dem.prop.sv","nb.demtrans.polity","nb.demtrans.polity.all","nb.demtrans.sv","xr.reg","prev.demtrans.sv","prev.demtrans.polity","dem.age.polity","nb.demtrans.sv.m1","nb.demtrans.polity.m1","prev.dem.death.sv","prev.dem.death.polity","CapChangeE1E2"
"1",1990,255,-63396.34375,1987,45,"DEU","Germany",23995.009765625,67890.9296875,-43895.921875,91885.9375,2118.6201171875,8759.5302734375,13509.7001953125,-101.457000732422,13611.099609375,17570.5,-836.127014160156,18406.599609375,24194.80078125,4305.89013671875,21426.900390625,55815.80078125,1.93008875846863,5.4609489440918,-3.53086018562317,7.391037940979,0.70459109544754,0.170415624976158,1.08668088912964,-0.0081609059125185,1.0948371887207,1.4133198261261,-0.0672556236386299,1.48057329654694,1.94615924358368,0.346353262662888,1.72351741790771,4.48966026306152,1256262.5,1243207.625,1476925.5,0.0139242047443986,0,0,0,0,0,0,1,0,6,"Germany",1987,2,1.22,7.49,8.7,0.1682,0,NA,0,0,3.57,1.15000604375604,1.09356321839201,0,0,0,0,NA,5.01063537597656,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,3,2551987,1341987,7087,"DEU1987","Germany","DEU",276,"DEU","GFR1987","GFR",255,134,134,"Germany 1987","Germany ",0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,1,41.00100183,61171,1220284,18044.47,0.5292462,28.94428,NA,NA,NA,NA,NA,NA,18125,14440,30.00459742,4996355.768,24719304.93,21400000,29600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.00459742,28.88599059,24719304.93,23818077.1,4996355.768,6.541670073,6.541670754,2.242856674,2.916668795,67.06666667,0.24800907,0.246277177,19948.73388,19691.89818,2.157086887,NA,61171,33.33333333,30.43478261,1220284,NA,0.562351823,NA,1,1,0,0,NA,0.34057971,0,0,0,0,0,"PostbretWood",1,1,39,0,0,1,0,-63396.34375
"2",1990,305,-3.7880859375,1986,11,"AUT","Austria",4173.0009765625,3146.06201171875,1026.93896484375,7319.06298828125,186.541000366211,316.584014892578,490.889007568359,199.00700378418,291.881988525391,2822.15991210938,103.626998901367,2718.5400390625,1695.40002441406,1164.30004882812,643.189025878906,918.005981445312,3.87282466888428,2.91975665092468,0.953068017959595,6.79258155822754,0.293811202049255,0.173122555017471,0.455577909946442,0.184691846370697,0.270886063575745,2.61915349960327,0.0961728021502495,2.52298736572266,1.57344484329224,1.08054852485657,0.596922516822815,0.851971089839935,98203.609375,107750.8359375,143546,0.0229018442332745,0,0,0,0,0,0,1,0,1,"Austria",1986,2,0,8.26,8.26,0.1068,0,NA,0,1,2.12,1.15429549331761,1.08068476558439,0,0,0,0,NA,3.01209759712219,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,4,3051986,1221986,1476,"AUT1986","Austria","AUT",40,"AUT","AUS1986","AUS",305,122,122,"Austria-Czechoslovakia-Hungary1986","Austria-Czechoslovakia-Hungary",0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,1,28.87525608,7584,114135,15191.01,0.7009537,250.3304,70.7853,61.45784,13076.1,17142.49,NA,NA,12294,12294,28.88599059,4911282.872,23818077.1,20700000,28600000,NA,NA,NA,NA,NA,NA,6.5,88.8,0.6,0.794486,0.0332,28.88599059,31.15504101,23818077.1,23000471.51,4911282.872,4.072823055,5.286643942,1.620680666,2.395439521,61.4,0.322248741,0.323662669,15049.4462,14716.94378,2.163332625,11263,7584,34.05797101,30.43478261,114135,13076.09934,0.5321123,0.446225,1,1,0,0,1.595353735,0.347826087,0.357142857,0.357142857,0,0,0,"PostbretWood",2,2,41,0,0,1,1,-3.7880859375
"3",1990,350,3961.94970703125,1989,71,"GRC","Greece",2751,-341.053985595703,3092.05395507812,2409.94604492188,752,0,0,0,0,0,0,0,0,1999,-341.053985595703,-4914,3.44488525390625,-0.427078098058701,3.87196326255798,3.01780724525452,0,0.941677093505859,0,0,0,0,0,0,0,2.50320816040039,-0.427078098058701,-6.15345907211304,76184.640625,79857.5234375,108117,0.0372953973710537,0,0,0,0,0,0,1,0,15,"Greece",1989,2,0,1.73,1.73,0.1576,0,NA,0,0,2.56,1.03799999981,1.03799999981,0,0,0,1,NA,1.75785791873932,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,1,3501989,1741989,11203,"GRC1989","Greece","GRC",300,"GRC","GRC1989","GRC",350,174,174,"Bulgaria-Greece-Rumania-Yugoslavia1989","Bulgaria-Greece-Rumania-Yugoslavia",0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,1,44.91400005,10157,101425,5770.321,0.4565138,948.8535,46.79285,35.95961,9798.853,12048.5,NA,NA,5356,5380,31.83905705,5169075.893,26582910.97,23300000,32200000,NA,NA,NA,NA,NA,NA,0.1,0.4,1.5,0.960642,0.0778,31.83905705,30.78917298,26582910.97,25772062.45,5169075.893,5.280004639,5.280006185,1.650000379,3.200002077,76.6,0.515003362,0.524580647,9985.724131,9666.468725,3.90417525,6734,10157,34.7826087,31.88405797,101425,9798.85227,0.408900708,0.5674694,1,1,0,0,1.428952604,0.369565217,0.3,0.3,0,0,1,"PostbretWood",4,4,15,0,0,3,3,3961.94970703125
"4",1990,390,1035.23046875,1988,48,"DNK","Denmark",12143.388671875,10184.482421875,1958.90625,22327.87109375,503.338012695312,720.486999511719,584.60498046875,0,584.60498046875,1815.39001464844,0,1815.39001464844,7443.22021484375,9824.66015625,1436.17004394531,3078.06005859375,11.3641386032104,9.53093719482422,1.83320140838623,20.895076751709,0.674252867698669,0.471038460731506,0.547090470790863,0,0.547090470790863,1.69889521598816,0,1.69889521598816,6.96558380126953,9.19420528411865,1.34400999546051,2.88053870201111,113230.78125,106857.09375,981132,-0.00142692390363663,0,0,0,0,0,0,1,0,11,"Denmark",1988,2,0,12.46,12.46,0.0819,0,NA,0,0,5.86,1.02043765272635,1.02189553089063,0,0,0,1,NA,2.72850632667542,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2,3901988,1281988,7462,"DNK1988","Denmark","DNK",208,"DNK","DEN1988","DEN",390,128,128,"Scandinavian countries1988","Scandinavian countries",0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,1,42.41292666,5130,93482,16989.59,0.6353067,176.5692,63.53226,57.90204,17262.3,21607.78,NA,NA,21206,18470,30.78917298,5082402.549,25772062.45,22400000,31000000,NA,NA,NA,NA,NA,NA,95.2,0.6,0.2,0.907944,0.0275,30.78917298,30.00459742,25772062.45,24719304.93,5082402.549,5.200000941,5.200001176,1.710526308,3.040000565,85,0.278271984,0.274609418,18222.61209,18016.37746,0.274579285,13571,5130,34.7826087,31.15942029,93482,17262.29853,0.556113183,0.4318314,1,1,0,0,1.769053997,0.362318841,0.444444444,0.444444444,0,0,1,"PostbretWood",1,2,44,0,0,0,1,1035.23046875
"5",1991,225,-11888.0498046875,1987,32,"CHE","Switzerland",23677.66015625,34946.9609375,-11269.30078125,58624.62109375,2320.2900390625,1273.47998046875,6371.41015625,2005.78002929688,4365.64013671875,4638.56982421875,3452.93994140625,1185.63000488281,24089.5,16718.80078125,3212.57006835938,1018.65002441406,13.9591760635376,20.6029968261719,-6.64382076263428,34.5621719360352,0.750780701637268,1.36792802810669,3.756267786026,1.18250858783722,2.57376503944397,2.73467087745667,2.03568243980408,0.698988735675812,14.2019758224487,9.85657691955566,1.89397215843201,0.600545585155487,179865.140625,169620.765625,338687,0.0124729434028268,0,0,0,0,0,0,1,0,4,"Switzerland",1987,2,2.05,5.17,7.22,0.5314,0,NA,0,1,6.76,1.12411978640819,1.07494313631131,0,0,0,1,NA,2.20827436447144,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,4,2251987,1461987,4843,"CHE1987","Switzerland","CHE",756,"CHE","SWZ1987","SWZ",225,146,146,"Benelux-Switzerland-Micro-european states1987","Benelux-Switzerland-Micro-european states",0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,1,37.24199885,6689,131614,24994.61,0.695762,43.40458,69.58219,59.76267,18042.65,23580.63,NA,NA,26027,21310,30.00459742,4996355.768,24719304.93,21400000,29600000,NA,NA,NA,NA,NA,NA,43.2,52.8,0.3,0.466786,0.3076,30.00459742,28.88599059,24719304.93,23818077.1,4996355.768,7.048474846,6.675713675,2.034647394,3.4795016,93.6,0.251444423,0.246542181,19676.18478,19670.73171,0.908110278,15491,6689,33.33333333,30.43478261,131614,18042.64559,0.614530981,NA,1,1,0,0,1.565810867,0.34057971,0.5,0.5,0,0,0,"PostbretWood",1,1,140,0,0,0,0,-11888.0498046875
"6",1991,235,-1176.6220703125,1987,140,"PRT","Portugal",764.982055664062,1597.57739257812,-832.595336914062,2362.5595703125,465.868988037109,-10.1877002716064,0,0,0,816.166015625,242.863998413086,573.302001953125,86.6651000976562,-517.052978515625,1521.09997558594,-2504.65991210938,1.54001557826996,3.21614623069763,-1.67613065242767,4.7561616897583,-0.0205092616379261,0.937859237194061,0,0,0,1.64305603504181,0.488919109106064,1.15413689613342,0.17446893453598,-1.04089975357056,3.06218647956848,-5.04222965240479,46077.2734375,49673.65625,77342.5,0.0618609599769115,0,0,0,0,0,0,1,0,5,"Portugal",1987,2,2.46,5.65,8.11,0.0468,0,NA,0,1,3.12,1.32048207031272,1.15478829492301,0,0,0,1,NA,2.42480278015137,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,4,2351987,1821987,22234,"PRT1987","Portugal","PRT",620,"PRT","POR1987","POR",235,182,182,"Portugal-Spain1987","Portugal-Spain",0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,1,45.09183691,9845,91073,4258.125,0.7186184,1194.075,66.31439,46.55827,7723.642,10238.76,NA,NA,3713,2870,30.00459742,4996355.768,24719304.93,21400000,29600000,NA,NA,NA,NA,NA,NA,1.1,94.1,0,0.887906,0.0025,30.00459742,28.88599059,24719304.93,23818077.1,4996355.768,6.94083732,6.670717703,2.075038694,3.332598086,42.6,0.534821648,0.557589692,9250.685627,8697.551559,4.119656584,5662,9845,33.33333333,30.43478261,91073,7723.64214,0.436672628,0.5729077,1,1,0,0,0.882989601,0.34057971,0.666666667,0.666666667,0,0,0,"PostbretWood",2,2,12,0,0,1,1,-1176.6220703125
"7",1991,355,-747.010986328125,1990,18,"BGR","Bulgaria",-3198,-1262,-1936,-4460,4,0,0,0,0,0,0,0,-384,-3202,-878,-1077,-19.650936126709,-7.75468444824219,-11.8962516784668,-27.4056205749512,0,0.0245790313929319,0,0,0,0,0,0,-2.35958695411682,-19.6755142211914,-5.39509725570679,-6.61790418624878,20726.30078125,16274.0341796875,35453.98046875,-0.0956013202667236,1,0,0,1,0,1,0,0,26,"Bulgaria",1990,2,10.72,8.69,19.41,0.4021,1,2,0,0,2.75,0.832072624813314,0.804698417369219,0,0,0,0,4,2.04640173912048,0,0,0,0,1,1,1,1,0,NA,NA,NA,1,3551990,9181990,2789,"BGR1990","Bulgaria","BGR",100,"BGR","BUL1990","BUL",355,918,918,"Bulgaria-Greece-Rumania-Yugoslavia1990","Bulgaria-Greece-Rumania-Yugoslavia",1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,0,27.70853531,8606,49779,NA,0.320423,0.1164209,NA,NA,NA,NA,NA,NA,2305,2210,32.25097355,5256679.78,27136041.11,24000000,33100000,NA,NA,NA,NA,NA,NA,0.4,0.5,10.6,0.794502,0.1157,32.25097355,31.83905705,27136041.11,26582910.97,5256679.78,5.280003092,5.280004639,1.650000252,3.200001385,4,0.892462836,0.798140341,5784.220311,6443.329874,-1.022535845,6203,8606,37.41007194,34.5323741,49779,NA,0.53669548,0.6597803,1,0,0,0,1.64288409,0.410071942,0.444444444,0.444444444,1,2,0,"PostbretWood",1,1,1,1,0,0,0,-747.010986328125
"8",1991,375,6081.9306640625,1987,59,"FIN","Finland",7627.66796875,4525.0087890625,3102.6591796875,12152.6767578125,264.727996826172,1141.08996582031,611.818969726562,9.12178993225098,602.697021484375,2226.57006835938,133.447998046875,2093.1201171875,-1260.61999511719,5136.3701171875,4032.71997070312,324.346008300781,8.73878955841064,5.184166431427,3.55462312698364,13.9229564666748,1.30731236934662,0.303290873765945,0.700942575931549,0.0104505596682429,0.690491795539856,2.55091428756714,0.152887344360352,2.398024559021,-1.44425439834595,5.88458442687988,4.62016582489014,0.371593445539474,90374.6796875,87285.1796875,97903,0.034964744001627,0,0,0,0,0,0,1,0,8,"Finland",1987,2,11.86,8.99,20.85,0.1315,0,NA,0,1,6.14,1.04271854708621,1.10600980943411,0,0,0,1,NA,2.5877640247345,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,4,3751987,1721987,9144,"FIN1987","Finland","FIN",246,"FIN","FIN1987","FIN",375,172,172,"Scandinavian countries1987","Scandinavian countries",0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,1,34.67397866,4919,75861,20476.24,0.506777,107.4817,50.67258,49.05185,14407.2,18454.44,NA,NA,18038,14670,30.00459742,4996355.768,24719304.93,21400000,29600000,3.064159292,1.582857143,1.935840708,3.064159292,1.582857143,1.935840708,93.1,0.1,0,0.871386,0.0105,30.00459742,28.88599059,24719304.93,23818077.1,4996355.768,3.064159292,3.090506613,1.582857143,1.935840708,94.9,0.320805023,0.326026228,15422.037,14875.07655,1.975687716,12730,4919,33.33333333,30.43478261,75861,14407.19987,0.552850544,0.5532406,1,1,0,0,1.902791221,0.34057971,0.666666667,0.666666667,0,0,0,"PostbretWood",0,2,44,0,0,0,1,6081.9306640625
"9",1991,380,-1272.955078125,1988,158,"SWE","Sweden",13187.369140625,11229.1689453125,1958.2001953125,24416.5390625,1673.43005371094,7471.35986328125,686.411987304688,509.279998779297,177.13200378418,-673.060974121094,-446.075012207031,-226.985992431641,2132.93994140625,12187,938.456970214844,2637.47998046875,7.19720315933228,6.12848615646362,1.06871700286865,13.3256893157959,4.07760620117188,0.913299381732941,0.374619573354721,0.277947157621384,0.0966724306344986,-0.367333054542542,-0.243452087044716,-0.123880989849567,1.16408371925354,6.65123701095581,0.512176871299744,1.4394439458847,193880.90625,183229.078125,1778468,0.02631501480937,0,0,0,0,0,0,1,0,10,"Sweden",1988,2,6.94,9.2,16.13,0.06,0,NA,0,0,3.93,1.05458379209005,1.02685847680834,1,0,0,1,NA,3.70423436164856,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,3,3801988,1441988,25601,"SWE1988","Sweden","SWE",752,"SWE","SWD1988","SWD",380,144,144,"Scandinavian countries1988","Scandinavian countries",0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,1,38.06015017,8494,145946,21801.96,0.6287892,189.6205,62.30347,55.75259,16622.01,20229.11,NA,NA,21400,19150,30.78917298,5082402.549,25772062.45,22400000,31000000,NA,NA,NA,NA,NA,NA,68.4,1.4,0.1,0.558654,0.065,30.78917298,30.00459742,25772062.45,24719304.93,5082402.549,3.91426799,3.923076923,1.645032932,2.380018906,71,0.295121042,0.292862534,17182.24629,16893.47852,2.607790812,14408,8494,34.7826087,31.15942029,145946,16622.00944,0.601800621,0.6226988,1,1,0,0,2.075626188,0.362318841,0.444444444,0.444444444,0,0,1,"PostbretWood",1,1,74,0,0,0,0,-1272.955078125
"10",1992,200,2166.0390625,1987,64,"GBR","United Kingdom",144102,127257.2265625,16844.7734375,271359.21875,15921.5,31771.599609375,-9218.9697265625,-4754.58984375,-4464.3798828125,59143.30078125,19223.400390625,39919.8984375,84601.8984375,69037.203125,20102.69921875,-8092.3798828125,20.3112773895264,17.9369945526123,2.37428283691406,38.2482719421387,4.47822904586792,2.24414658546448,-1.2994202375412,-0.670162737369537,-0.629257440567017,8.33628940582275,2.70955157279968,5.62673759460449,11.9246969223022,9.73084163665771,2.83348941802979,-1.14062654972076,700547.4375,709467.9375,702324.25,0.0446119457483292,0,0,0,0,0,0,1,0,2,"Great Britain",1987,2,21.33,1.93,23.26,0.1211,0,NA,0,0,3.08,1.11792043838656,1.01792309047066,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,5,2001987,1121987,9892,"GBR1987","United Kingdom","GBR",826,"GBR","UKG1987","UKG",200,112,112,"United Kingdom-Ireland1987","United Kingdom-Ireland",0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1,1,40.14099212,56258,877143,13745.13,0.5208035,10.69735,51.9535,45.97271,13192.91,17044.5,NA,NA,12151,10540,30.00459742,4996355.768,24719304.93,21400000,29600000,4.113573407,1.858573217,2.213296399,4.113573407,1.858573217,2.213296399,16.1,13.1,1.4,0.524914,0.1063,30.00459742,28.88599059,24719304.93,23818077.1,4996355.768,4.113573407,3.848349979,1.858573217,2.213296399,38.2,0.317319519,0.325548713,15591.43588,14896.89529,4.302414082,12283,56258,33.33333333,30.43478261,877143,13192.91052,0.546598554,0.5611726,1,1,0,0,1.793663505,0.34057971,0.714285714,0.714285714,0,0,0,"PostbretWood",1,1,108,0,0,0,0,2166.0390625
